                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.68471,                0.51599,                0.99336,                 0.8344,                0.92375,                 0.8944,                0.71537,                0.76812,                0.57067,                 1.0972,               0.000713,               0.000713,               0.000713
                    133,                0.64545,                0.47573,                 0.9653,                0.83657,                 0.8958,                0.90036,                0.72078,                 0.7576,                 0.5928,                 1.0871,              0.0007031,              0.0007031,              0.0007031
                    134,                0.65987,                 0.4796,                0.96524,                0.84352,                0.89847,                0.91324,                0.73308,                0.75234,                0.57926,                 1.0853,              0.0006932,              0.0006932,              0.0006932
                    135,                0.66523,                0.49016,                0.97671,                0.86709,                0.88333,                0.90125,                0.71516,                0.76249,                0.57765,                 1.0844,              0.0006833,              0.0006833,              0.0006833
                    136,                0.66191,                0.50811,                0.97586,                0.85016,                0.90833,                0.88881,                0.70837,                0.76703,                0.57557,                 1.0878,              0.0006734,              0.0006734,              0.0006734
                    137,                0.64899,                0.46998,                0.97276,                0.82249,                0.92671,                0.89159,                0.71363,                 0.7713,                0.57749,                 1.0998,              0.0006635,              0.0006635,              0.0006635
                    138,                0.64277,                0.48204,                0.97256,                0.83719,                0.91667,                0.88498,                0.69339,                 0.7806,                0.58443,                 1.1067,              0.0006536,              0.0006536,              0.0006536
                    139,                0.64124,                0.49316,                0.97875,                0.83792,                0.91667,                0.86289,                0.69379,                0.77525,                0.59122,                  1.108,              0.0006437,              0.0006437,              0.0006437
                    140,                0.62597,                0.45848,                0.97044,                0.81338,                0.91667,                0.89284,                0.72079,                0.76608,                0.61689,                 1.0888,              0.0006338,              0.0006338,              0.0006338
                    141,                0.66886,                0.47065,                0.96951,                 0.8229,                    0.9,                0.88692,                0.71351,                0.77225,                0.60607,                 1.1038,              0.0006239,              0.0006239,              0.0006239
                    142,                0.63675,                0.46887,                 0.9813,                0.83791,                    0.9,                0.89031,                0.71395,                0.77945,                0.59977,                 1.1027,               0.000614,               0.000614,               0.000614
                    143,                0.66396,                 0.4737,                0.97689,                0.82903,                0.88333,                0.88432,                0.71543,                0.78284,                0.64494,                 1.0998,              0.0006041,              0.0006041,              0.0006041
                    144,                0.63933,                0.49286,                0.97077,                0.82078,                0.90833,                0.88212,                0.71647,                0.76852,                0.63171,                 1.0959,              0.0005942,              0.0005942,              0.0005942
                    145,                0.65475,                0.45949,                0.97046,                0.85607,                0.89167,                0.88976,                0.72525,                0.74515,                0.58489,                 1.0882,              0.0005843,              0.0005843,              0.0005843
                    146,                 0.6605,                0.46932,                0.96728,                0.82294,                0.93333,                0.88619,                0.69617,                0.77647,                0.57598,                 1.1023,              0.0005744,              0.0005744,              0.0005744
                    147,                0.65286,                0.48337,                0.97268,                0.84783,                0.88333,                0.89129,                 0.7049,                0.79083,                0.59508,                 1.0961,              0.0005645,              0.0005645,              0.0005645
                    148,                0.64233,                0.48285,                0.96384,                0.82046,                0.93333,                0.87397,                0.70573,                 0.7682,                0.57606,                 1.0859,              0.0005546,              0.0005546,              0.0005546
                    149,                0.65431,                0.45745,                0.96312,                0.84549,                0.91201,                0.87524,                0.69519,                0.77349,                0.60184,                 1.0925,              0.0005447,              0.0005447,              0.0005447
